TOTAL           105437
deployment           M2                   1 
10.1                 N1                   1 
handwriting          Q1.2                 1 
laptop/tablet        Z99                  1 
discharge            A1.7-                1 
recharge             O3                   1 
day-                 Z99                  1 
expanding            N3.2+                1 
bulged               O4.1                 1 
deforming            A1.1.2               1 
several_days_ago     T1.1.1               1 
appointment          T1.1                 1 
crying               E4.1-                1 
$129                 Z99                  1 
$39                  Z99                  1 
$139                 Z99                  1 
circumstances        O4.1                 1 
consumable           A1.5.1               1 
reply                Q2.2                 1 
looking_down         X3.4                 1 
smear                O2                   1 
contact              Q2.2                 1 
specify              A4.2+                1 
6'5                  Z99                  1 
posture              O4.1                 1 
indicated            A10+                 1 
swat                 E3-                  1 
lawyers              G2.1                 1 
pushes               M2                   1 
hire                 I2.2                 1 
cheerleaders         E4.1+                1 
bully                E3-                  1 
everybody            Z8                   1 
bulge                O4.1                 1 
explode              A1.1.1               1 
$1199.00             Z99                  1 
tax-free             I1.1                 1 
bestbuy              Z99                  1 
lags                 N3.8-                1 
chip_out             I1.2                 1 
ocz                  Z99                  1 
vector               A6.3+                1 
Windows_XT           Z1                   1 
synchronize          A6.1+                1 
unbelievable         A5.1+++              1 
desk_tops            Y2                   1 
broke.i              Z99                  1 
looked_good          A5.1+                1 
cult                 S9                   1 
crowd.the            Z99                  1 
$1100                Z99                  1 
again.frustrated     Z99                  1 
amazon_shopping      I2.2                 1 
e                    Z5                   1 
band/                Z99                  1 
preloaded            Z99                  1 
re-buy               Z99                  1 
$1400                Z99                  1 
amount/              Z99                  1 
divided_up           S1.1.2+              1 
payments             I1.1                 1 
brain_wash           P1                   1 
reboots              Z99                  1 
freezing_up          O4.6-                1 
dragging             M2                   1 
pointer              S8+                  1 
slowing              N3.8-                1 
communicate          Q2.1                 1 
ipads/pods           Z99                  1 
madman               S1.2.6-              1 
every_8_months       N6+                  1 
all_year_long        T1.3+                1 
limitation           A1.7+                1 
provider             A9-                  1 
accessed             M1                   1 
internet/shared      Z99                  1 
60_plus              T3                   1 
retrieving           A9+                  1 
microsecond          T1                   1 
something/find       Z99                  1 
acting               A1.1.1               1 
hesitations          A7-                  1 
flaws                A5.1-                1 
a_year_ago           T1.1.1               1 
mac/apple            Z99                  1 
passion              X5.2+                1 
90_'s                T1.3                 1 
Gateway              Z3                   1 
Windows_95           Z2                   1 
Windows_2000         Z2                   1 
Windows_NT           Z1                   1 
Windows_Vista        Z1                   1 
slowness             N3.8-                1 
spyware/malware/adware Z99                  1 
anti-virus           Z99                  1 
**27;75;toolong      Z99                  1 
hassles              A12-                 1 
apple/macintosh      Z99                  1 
elementary_school    P1                   1 
hesitated            A7-                  1 
electronic           O3                   1 
$1,200+              Z99                  1 
$500                 Z99                  1 
-$600                Z99                  1 
door-buster          Z99                  1 
looking_long         N3.7+                1 
dreaming             X2                   1 
non-Retina_MacBook   Z1                   1 
apple/mac            Z99                  1 
Mac_Mini             Z1                   1 
remain               T2++                 1 
price-tag            I1.3                 1 
greedy               S1.2.2+              1 
obsolecence          Z99                  1 
deems                X2.1                 1 
abandon/dispose      Z99                  1 
dozens               N5+                  1 
blindly              X3.4-                1 
disc-less            Z99                  1 
half_dozen           N1                   1 
count                N2                   1 
somewhere_around     A13.4                1 
1/4                  N1                   1 
1/8                  N5                   1 
home-burned          Z99                  1 
videotapes           K3                   1 
audio-cassettes      K3                   1 
blanks               N5---                1 
collected            A9+                  1 
at_one_time          T1.1.1               1 
jackrabbit           L2                   1 
8-tracks             Z99                  1 
mp3s                 Z99                  1 
Betamax              Z3                   1 
laser-discs          Z99                  1 
hd-dvds              Z99                  1 
collections          A9+                  1 
necessitating        S6+                  1 
re-purchase          S9                   1 
in_the_past_year     T1.1.1               1 
player/recorder      Z99                  1 
VCR                  K3                   1 
changer              S2                   1 
am/fm                Z99                  1 
dual-cassette        Z99                  1 
tape_deck            K3                   1 
record_player        K3                   1 
Sony_PS-LX250H       Z1                   1 
Belt-Drive           Z99                  1 
turntable            K3                   1 
lps                  K3                   1 
yet_again            N6+                  1 
obsolete             T3---                1 
defeats              X9.2-                1 
replacement/equivalent Z99                  1 
furthermore          Z5                   1 
minis                B5                   1 
kindles              T2+                  1 
degree               A13.1                1 
ipods                Z99                  1 
ultra-portable       Z99                  1 
bogged_down          A12-                 1 
lug                  M2                   1 
requisite            S6+                  1 
cords/battery        Z99                  1 
may_as_well          A7+                  1 
ugh                  Z4                   1 
now-rare             Z99                  1 
17_inch              N3.3                 1 
phase_out            T2-                  1 
Crucial.com          Z99                  1 
near                 N3.3-                1 
every_single_one     N5.1+                1 
screen/system        Z99                  1 
whereas              Z5                   1 
4_or_so              N1                   1 
installing/updating  Z99                  1 
unfrozen             O4.6+                1 
20+                  Z99                  1 
elegant-looking      Z99                  1 
experiencing         A2.1+                1 
first-hand           A5.4+                1 
bug-ridden           Z99                  1 
virus-plagued        Z99                  1 
Monsanto             Z99                  1 
Merck                Z99                  1 
pollute              W5                   1 
mankind              S2                   1 
manufacture          A1.1.1               1 
vulnerable           S1.2.5-              1 
bug                  E3-                  1 
outrageous           N5.2+                1 
pricepoint           Z99                  1 
link_together        S5+                  1 
insurance            I1                   1 
trustworthy          A5.1+                1 
without              M6                   1 
hps                  Z3                   1 
md103ll/a            Z99                  1 
mb466ll/a            Z99                  1 
then                 Z5                   1 
aggressive           E3-                  1 
responsibility       S6+                  1 
rom/ram              Z99                  1 
busted               A1.1.2               1 
hard-drive           O2                   1 
illegal              G2.1-                1 
week-week            Z99                  1 
surpassing           A5.1++               1 
shop_around          I2.2                 1 
skimping             A1.5.1               1 
Boots                Z3                   1 
not_bother           A1.9                 1 
numpad               Z99                  1 
13'                  Z99                  1 
spot                 O4.4                 1 
resale               I2.2                 1 
professionals        I3.2+                1 
arts                 C1                   1 
trend                A6.2+                1 
gently               E3+                  1 
--although           Z99                  1 
exaggerated          N5.2+                1 
scratches--i         Z99                  1 
look_to              X7+                  1 
complementary        N5.1+                1 
hopes                X2.6+                1 
caught               A9+                  1 
joneses              Z1                   1 
designers            C1                   1 
look_amazing         O4.2+                1 
sucked               B1                   1 
coolest              O4.6-                1 
deserves             S1.1.4+              1 
retire               I3.1-                1 
safely               A15+                 1 
preference_based     E2++                 1 
offense              G2.1-                1 
tried                X2.4                 1 
Windows_7.           Z2                   1 
mirror               O2                   1 
backgrounds          T1.1.1               1 
global               W3                   1 
these_days           T1.1.2               1 
preserve             S8+                  1 
converted            A2.1+                1 
lived_with           E2+                  1 
restarts             T2+                  1 
catch_up             T1.1.2               1 
looked_back          X2.2+                1 
silky                O4.5                 1 
acquainted           X2.2+                1 
lr5                  Z99                  1 
problema             Z99                  1 
tons_of              N5+                  1 
realice              Z99                  1 
notify               Q2.1                 1 
defects              A5.1-                1 
two_thirds           N1                   1 
send_in              M2                   1 
for_many_weeks       T1.3+                1 
faithful             S6+                  1 
apple_fanboys        Z3                   1 
drool                B1                   1 
awaited              X2.6+                1 
backlighted          Z99                  1 
four-year-old        T3                   1 
markedly             A11.2+               1 
every-day            T1.1.2               1 
a_week_ago           T1.1.1               1 
genuinely            A5.4+                1 
Dell_XPS             Z1                   1 
familiarize          X2.2+                1 
pie                  F1                   1 
games-               Z99                  1 
boot_camp            G3                   1 
aluminium            O1.1                 1 
ridden               K5.1                 1 
alongside            Z5                   1 
$1,500               Z99                  1 
unforgivable.        G2.2-                1 
mini-displayport     Z99                  1 
adapter.             O3                   1 
XPS                  Z99                  1 
mid-range            N3.1                 1 
global               Z3                   1 
delight              E4.1+                1 
affecting            A2.1+                1 
outgoing             S1.2.1+              1 
time_Mac             Z1                   1 
1992                 N1                   1 
differential         N2                   1 
calculate            N2                   1 
pitched              M2                   1 
signaled             Q1.1                 1 
reformatted          Z99                  1 
phone_call           Q1.3                 1 
last_4_days          T1.1.1               1 
froze                O4.6-                1 
tick-tick-tick       Z99                  1 
4-day                Z99                  1 
unanswered           Q2.2                 1 
answered             Q2.2                 1 
go-ahead             S7.4+                1 
inform               X2.2+                1 
the_go_ahead         S7.4+                1 
sat                  M8                   1 
repaired             A5.1+                1 
authorization        S7.4+                1 
corruption           G2.2-                1 
techs                P1                   1 
trust                E6+                  1 
countless            N5+                  1 
restoring            A2.1+                1 
14+                  Z99                  1 
wrecked              A1.1.2               1 
2/4/13               N5                   1 
surfaced             A10+                 1 
white/random         Z99                  1 
rectangles           O4.4                 1 
repetition           N6+                  1 
occurs               A2.1+                1 
hard-powered         Z99                  1 
issue--like          Z99                  1 
escalation           N5+                  1 
going_with           A6.1+                1 
senior               Z1                   1 
adviser              S8+                  1 
standard_apple       Z2                   1 
myriad               N5+                  1 
at_this_rate         N3.8                 1 
2/28/13              N5                   1 
non-working          I3.1-                1 
unstable             A2.1+                1 
shuddering           E1                   1 
locking_up           A1.7+                1 
resigned             A9-                  1 
hearing              X3.2                 1 
new/rebuilt          Z99                  1 
wonk                 P1                   1 
ubiquitous           M7                   1 
eol                  Z99                  1 
commitment           S6+                  1 
hodge                Z1                   1 
lodge                H1                   1 
trauma               E4.1-                1 
OEM                  Z99                  1 
paraphernalia        O2                   1 
run_stuff            M1                   1 
challenge            A12-                 1 
sharp                N3.8+                1 
forcing              S7.1+                1 
migrate              M1                   1 
$64                  Z99                  1 
graphic_design       C1                   1 
advertisement        I2.2                 1 
powermac             Z99                  1 
astounded            X2.6-                1 
effortlessly         A12+                 1 
adapted              A2.1+                1 
adore                E2+                  1 
swipes               A9+                  1 
streams              W3                   1 
slavic               Z99                  1 
letterforms          Z99                  1 
looking_up           Q1.2                 1 
obscure              A12+                 1 
glyph                C1                   1 
nitpicks             Q2.2                 1 
react                A1.1.1               1 
gentle               E3+                  1 
touches              X3.3                 1 
be_much_of_a         A6.1+                1 
illuminated          W2                   1 
skylights            H2                   1 
initial              T2+                  1 
MBP_15               Z2                   1 
awry                 M6                   1 
id                   X2                   1 
fall_back_on         N6+                  1 
preinstalled         Z99                  1 
erroneously          A5.3-                1 
chat                 Q2.1                 1 
couldnt              Z99                  1 
posed                O4.1                 1 
turn_up              M1                   1 
indefinitely         T2++                 1 
utilized             A1.5.1               1 
decreased            N5-                  1 
2.5                  N1                   1 
icon                 C1                   1 
taskbar              Z99                  1 
flashes              O4.3                 1 
lion                 L2                   1 
preferred            E2++                 1 
relative             A13                  1 
2007                 N1                   1 
navigation           M4                   1 
separated            S3.1-                1 
environments         W5                   1 
pounds               M7                   1 
report_back          Q2.2                 1 
partitioning         A6.1-                1 
takes_a              X2.1                 1 
extendable           N3.7+                1 
proximity            N3.3-                1 
pay_off              I1.2                 1 
took_the_plunge      A1.1.1               1 
Friday_time          T1.3                 1 
14-Day_Price         Z1                   1 
whistle              O2                   1 
watch_it             Z4                   1 
34                   N1                   1 
7_years_ago          T1.1.1               1 
back_then            T1.1.1               1 
falling_over         M1                   1 
wd                   Z99                  1 
on-screen            Z99                  1 
pulling_out          M2                   1 
instruction          Q2.2                 1 
came_up              A1.1.1               1 
press                Q4.2                 1 
blocky               O4.4                 1 
downstairs           H2                   1 
8_foot               N3.7                 1 
in_this_case         Z4                   1 
options              Z3                   1 
looked_natural       A6.2+                1 
pet_peeves           Q2.2                 1 
reluctance           X5.2-                1 
look_terrible        A5.1-                1 
preset               A1.7+                1 
request              Q2.1                 1 
toyed                X2.1                 1 
button/joystick      Z99                  1 
pulls_up             M3                   1 
pressed              A1.1.1               1 
format               Y2                   1 
continuing           T2++                 1 
pro/con              Z99                  1 
camelcamelcamel      Z99                  1 
alert                X2.2+                1 
drops                M2                   1 
want_for             A9-                  1 
individual           N5-                  1 
star                 Z3                   1 
$6-$12               Z99                  1 
rating_based         A5.1                 1 
**25;103;toolong     Z99                  1 
12/26/2012           N5                   1 
overpower            S7.1+                1 
tinkering            A2.1+                1 
300hz                Z99                  1 
controlling          S7.1+                1 
dropped_down         M1                   1 
**93;129;toolong     Z99                  1 
hover                M1                   1 
$250-$300            Z99                  1 
**25;223;toolong     Z99                  1 
03/28/2013           N5                   1 
performing           A1.1.1               1 
**25;249;toolong     Z99                  1 
eleven               N1                   1 
11/03/2013           N5                   1 
coming_up_to         M1                   1 
friday/christmas     Z99                  1 
mechanical           O2                   1 
**25;275;toolong     Z99                  1 
12/17/2014           N5                   1 
squretrade           Z99                  1 
46                   N1                   1 
samsung_7150         Z2                   1 
blew                 A1.1.1               1 
drowned              L1-                  1 
in_the_process_of    A1.1.1               1 
7                    T3                   1 
20_miles             N3.3                 1 
estimated            X6                   1 
Samsung_8000         Z2                   1 
plasma               B1                   1 
hhgregg              Z99                  1 
reconditioned        Z99                  1 
ruining              A1.1.2               1 
hassle-free          Z99                  1 
throw_away           M2                   1 
packing              A1.1.1               1 
alert                X5.1+                1 
mother-in-law        S4                   1 
Samsung_32           Z2                   1 
kicker               K5.2                 1 
un32eh4000           Z99                  1 
moot                 A7-                  1 
wall-mounted         Z99                  1 
leads                S7.1+                1 
loophole             G2.1                 1 
price-matching       Z99                  1 
warrant              S6+                  1 
took_home            M2                   1 
satellite            W1                   1 
bad_speakers         Q3                   1 
5w                   Z99                  1 
last_night           T1.1.1               1 
cable/satellite      Z99                  1 
e320-a1              Z99                  1 
excellent/dependable Z99                  1 
$248                 Z99                  1 
high-speed           N3.8+                1 
feet/2.0             Z99                  1 
meters               N3.1                 1 
3d                   O4.4                 1 
consumes             A1.5.1               1 
28                   N1                   1 
$6                   Z99                  1 
year_32              P1                   1 
theaters             K4                   1 
confirmed            A7+                  1 
Samsung_22           Z2                   1 
ln22a450             Z99                  1 
kept_my_eye_on       X3.4                 1 
came_across          A10+                 1 
32eh4003             Z99                  1 
leading              S7.1+                1 
wirecutter           Z99                  1 
backlighting         W2                   1 
16:9                 N1                   1 
ESPN                 Z99                  1 
CNBC                 Z99                  1 
sidebar              Q2.1                 1 
all_there            B2+                  1 
lax                  A1.7-                1 
composite            O4.1                 1 
wired_up             O3                   1 
multichannel         Z99                  1 
tuner                O3                   1 
audio-out            Z99                  1 
loft                 H2                   1 
bezel/frame          Z99                  1 
looks_thin           N3.7-                1 
connectors           O3                   1 
kind-no              Z99                  1 
hook-up              A2.2                 1 
video_output         Q4.3                 1 
means                X4.2                 1 
inaccessible         M6                   1 
again-would          Z99                  1 
Visio                Z3                   1 
amount_to            A3+                  1 
solar                W1                   1 
28w                  Z99                  1 
40w                  Z99                  1 
on_the_negative_side Z6                   1 
opinions             X2.1                 1 
set_in               T2+                  1 
IMHO                 Z99                  1 
dining_room          H2                   1 
blacks               O4.3                 1 
timer                T1                   1 
no_worries           Z4                   1 
mixers               O3                   1 
gear.the             Z99                  1 
ssf4                 Z99                  1 
DisplayLag.com       Z99                  1 
19ms                 Z99                  1 
battlefield          G3                   1 
looks_phenomenal     A5.1+                1 
colossus             N3.2+                1 
running_off          M1                   1 
ps2                  Z3                   1 
remake               Q4.3                 1 
suspected            X2.1                 1 
componant            Z99                  1 
av                   P1                   1 
hdmi/dvi             Z99                  1 
oddly_enough         A6.2-                1 
stays_out            M8                   1 
get_in               A9+                  1 
flac                 Z99                  1 
today.               T1.1.2               1 
space                N6                   1 
hookup               Z99                  1 
serves_its_purpose   A1.5.2+              1 
pleasing             E4.2+                1 
for_a_year           T1.3                 1 
going_for            E2+                  1 
family/              Z99                  1 
'slim'               Z99                  1 
spider               L2                   1 
cracks               A1.1.2               1 
internal_speakers    Q3                   1 
reception            H2                   1 
1020p                I1                   1 
not_bothering        A1.9                 1 
g-d                  Z99                  1 
60hz                 Z99                  1 
beside               Z5                   1 
120hz                Z99                  1 
wise                 S1.2.6+              1 
picture_wise         C1                   1 
tv_companies         Q4.3                 1 
package_in           T2-                  1 
cushioning           O4.1                 1 
largest              N3.2+++              1 
bedroom/office       Z99                  1 
hooked               O4.4                 1 
foreign              M7                   1 
playable             Z99                  1 
US_DVD               Z1                   1 
us.                  Z8                   1 
50+                  Z99                  1 
family_room          S4                   1 
transit              M1                   1 
declined             N5-                  1 
resend               Z99                  1 
rush                 N3.8+                1 
dorm                 H2                   1 
bleeding             B1                   1 
biggie               N3.2+                1 
un32eh4003vxza       Z99                  1 
vxza                 Z99                  1 
definitive           A4.1                 1 
4000f                Z99                  1 
4003fxza             N1                   1 
blotchy              O4.1                 1 
sketchy              A4.2-                1 
fear                 E5-                  1 
11.9_pounds          I1                   1 
fatal                A5.1---              1 
nothing_at_all       N5.1-                1 
comcast              Z99                  1 
cadillac             Z3                   1 
buick                Z99                  1 
rescan               Z99                  1 
setting_in           T2+                  1 
balances             O4.1                 1 
inputs               O2                   1 
28%                  N5                   1 
dough                F1                   1 
splitter             I3.1                 1 
plugins              Z99                  1 
lovin                Z99                  1 
mount                W3                   1 
Asia                 Z2                   1 
audio_system         K3                   1 
$189.99              Z99                  1 
twiddled             M2                   1 
extensive            N5+                  1 
model/any            Z99                  1 
cabinetry            H1                   1 
decent_speaker       Q3                   1 
inexpensively        I1.3-                1 
enormously           A13.3                1 
profits              I1.1                 1 
letting              S7.4+                1 
18_year_old          T3                   1 
referred             Q2.2                 1 
along_those_lines    A6.1+                1 
clear/sharp          Z99                  1 
toy                  X2.1                 1 
on_your_own          S5-                  1 
upscales             O4.2+                1 
speakers/home        Z99                  1 
theatre              K4                   1 
theater/speakers     Z99                  1 
outstanding-did      Z5                   1 
roku                 Z99                  1 
suppply              Z99                  1 
power_supply         O3                   1 
capacitors           O3                   1 
power_supplies       O3                   1 
a_couple_of_years_ago T1.1.1               1 
SOL                  Z2                   1 
year+                Z99                  1 
separated            A6.1-                1 
flicker              M1                   1 
$77.00               Z99                  1 
talked_into          Q2.2                 1 
$0.00                Z99                  1 
repurchase           I2.2                 1 
forgetaboutit        Z99                  1 
9/22/14              N5                   1 
is_back              M6                   1 
for_the_second_time  N4                   1 
came_into            A9+                  1 
Plasma_TVs           Z1                   1 
$10k                 N3.3                 1 
well_known           A11.1+               1 
facing               M6                   1 
stood_out            A11.2+               1 
assessment           X2.4                 1 
optimized            A5.1+++              1 
calibrated           N3.1                 1 
realistic            A3+                  1 
clarify              A7+                  1 
thank                S1.2.4+              1 
basic                Y2                   1 
collage              C1                   1 
referencing          Q2.2                 1 
3-rca                Z99                  1 
coax                 Q2.2                 1 
rulers               S7.1+                1 
10.5_inches          N3.3                 1 
8_inches             N3.3                 1 
1.5_inch             N3.3                 1 
58                   T3                   1 
stack                M2                   1 
weighing_in          N3.5                 1 
connector            O3                   1 
2m                   N3.3                 1 
playe                Z99                  1 
tray                 O2                   1 
flimsy.              O4.1                 1 
links                A2.2                 1 
44_bucks             I1                   1 
up-scaling           Z99                  1 
dvp-3560/f7          Z99                  1 
digital_out          X2.4                 1 
Feb_19               T1.3                 1 
March_6              T1.3                 1 
March_8              T1.3                 1 
March_18             T1.3                 1 
unrepaired           Z99                  1 
wondered             X2.1                 1 
$43                  Z99                  1 
Sept_2012            T1.3                 1 
ran_out              N5.1-                1 
entered              M1                   1 
recycle              A1.5.1               1 
$59                  Z99                  1 
capacitor            O3                   1 
Sony_DVD             Z1                   1 
hooked_up            S5+                  1 
slowly               N3.8-                1 
bug                  B2-                  1 
Sony_WEGA            Z1                   1 
enhanced             A5.1+                1 
turns_on             A1.1.1               1 
variable             A6.3+                1 
time/chapter         Z99                  1 
time/text            Z99                  1 
all_time             T1.3+                1 
chapters             Q4.1                 1 
economically         I1.3-                1 
hooks                O2                   1 
frees                S6-                  1 
wii                  Z99                  1 
tem                  Z99                  1 
originals            A5.4+                1 
leds                 S7.1+                1 
on/                  Z99                  1 
off/play/            Z99                  1 
last_two_weeks       T1.1.1               1 
paused               T2-                  1 
's_up_to             A1.1.1               1 
nuff                 Z99                  1 
measurements         N3.1                 1 
parameters           A1.7+                1 
accompanying         S3.1                 1 
hence                A2.2                 1 
pendulum             O2                   1 
swung                M1                   1 
alleviating          A5.1+                1 
clutter              O4.1                 1 
behind               M6                   1 
hissing              Z99                  1 
cheap_speakers       Q3                   1 
audibly              X3.2+                1 
hiss                 X3.2                 1 
turned_up            M1                   1 
Xonar_DGX            Z1                   1 
**39;301;toolong     Z99                  1 
compensate           S8+                  1 
compensation_based   S8+                  1 
measured             N3.1                 1 
+20_60               N1                   1 
+20_120              N1                   1 
9_250                N1                   1 
+3_500               N1                   1 
-6_1000              N1                   1 
+1_2000              N1                   1 
+4_4000              N1                   1 
-14_8000             N1                   1 
+1_16000             N1                   1 
+10                  N1                   1 
Asus_Xonar_DGX       Z1                   1 
night-and-day        Z99                  1 
gui                  Z99                  1 
sliders              O2                   1 
config               Z99                  1 
AppDataRoamingASUSXonar_DGX Z1                   1 
Centercmicnfp.ini    Z99                  1 
logarithmic          Z99                  1 
1310720              N1                   1 
corresponds          Q1.2                 1 
bands                K2                   1 
0-9                  N1                   1 
correspond           Q1.2                 1 
120                  N1                   1 
upshot               A2.2                 1 
uncalibratable       Z99                  1 
equalizing           A6.1+                1 
infer                X2.5+                1 
khz                  N3.8                 1 
extraordinarily      A6.2-                1 
tiny_speakers        Q3                   1 
tweeters             O3                   1 
did_out_of           A9-                  1 
curiosity            X5.2+                1 
dedication           X5.2+                1 
drastic              N5+++                1 
audioengine          Z99                  1 
a2+                  Z99                  1 
Vanatoo              Z99                  1 
transparent          O4.3                 1 
magnitude            N3.2                 1 
diving               M4                   1 
get_out_of           A1.9                 1 
a_heck_of_a_lot      N5++                 1 
purity               A5.4+                1 
subjective           E1                   1 
plugs                O3                   1 
bass-heavy           Z99                  1 
low-end              A5.1-                1 
overpowers           S7.1+                1 
pitches              M7                   1 
muddiness            O1.2                 1 
similar_speakers     Q3                   1 
podcasts             Z99                  1 
look_decent          A5.1+                1 
on/off               Z99                  1 
knob                 O2                   1 
insist               S7.1+                1 
amazonbsics          Z99                  1 
unclear              A7-                  1 
muddled              O4.2-                1 
similarly            A6.1+                1 
$17                  Z99                  1 
came_through         X9.2+                1 
small_speakers       Q3                   1 
price.               I1.3                 1 
came_from            M6                   1 
blasting             A1.1.1               1 
a/b                  Z99                  1 
shabby               O4.2-                1 
overall.             N5.1+                1 
crappier             A5.1-                1 
price/size           Z99                  1 
Adam                 Z1                   1 
p22a                 Z99                  1 
translation          Q3                   1 
Joe_Everyman         Z1                   1 
'b'                  Z99                  1 
primary_speaker      Q3                   1 
pump                 O2                   1 
standalone           Z99                  1 
minitower            Z99                  1 
tv.                  Q4.3                 1 
instructed           Q2.2                 1 
behold               X3.4                 1 
sounds_out           Q2.2                 1 
mind_you             Z4                   1 
certified            I3.2+                1 
computer_technician  Y2                   1 
CompTIA              Z99                  1 
a_decade_ago         T1.1.1               1 
companion            S3.1                 1 
workstation          Y2                   1 
tastes               X3.1                 1 
go_without           A9-                  1 
take_around          M2                   1 
missed               A5.3-                1 
sit_around           M8                   1 
vocals               Q3                   1 
jazz                 K2                   1 
streamed             N5+                  1 
wart                 B2-                  1 
cluttering           O4.1                 1 
borrowing            A9-                  1 
praised              S7.2+                1 
previous_speakers    Q3                   1 
balanced             A5.3+                1 
speaker--nothing_fancy Z99                  1 
Hulu                 Z99                  1 
a/c                  Z99                  1 
serve_my_purpose     A1.5.2+              1 
electrical           O3                   1 
inexpensive_speakers Q3                   1 
sonic                X3.2                 1 
projector            O3                   1 
Camp                 S2.1                 1 
chef                 F1                   1 
entertainment_gear   B5                   1 
user.                A1.5.1               1 
distorting           A5.2-                1 
$13                  Z99                  1 
distorted            O4.4                 1 
micro                Y2                   1 
allocated            A9-                  1 
hp_14                Z2                   1 
23'                  Z99                  1 
price/value_factor   Z99                  1 
-a                   Z5                   1 
classroom            P1                   1 
classrooms           P1                   1 
15x18                N1                   1 
+/-                  Z99                  1 
5-15                 N1                   1 
other_speakers       Q3                   1 
$50.00               Z99                  1 
campouts             Z99                  1 
punch                E3-                  1 
frustration_free     E4.2-                1 
JBL                  Z99                  1 
*sarcasm*            Z99                  1 
holy                 S9                   1 
grail                O2                   1 
OMG_AMAZON           Z1                   1 
high                 A5.1+                1 
quality              A5.1+                1 
innovative           T3-                  1 
vow                  Q2.2                 1 
amazonbasic          Z99                  1 
bass/treble          Z99                  1 
shopper              I2.2                 1 
glass_of_wine        F2                   1 
good_natured         S1.2.1+              1 
pairs                N5                   1 
earphone             K3                   1 
jack                 A1.1.1               1 
roomshaking          Z99                  1 
teenage              T3-                  1 
rigged               G2.2-                1 
bedposts             H5                   1 
'surround            Z99                  1 
sound'               Z99                  1 
dialogue             Q2.1                 1 
feedback-y           Z99                  1 
wow-did              Z5                   1 
-i                   N1                   1 
picking_up           M2                   1 
radio_broadcasts     Q4.3                 1 
mystified            X2.5-                1 
unusable             A1.5.1-              1 
od                   F3                   1 
size/price           Z99                  1 
pricey_speakers      Q3                   1 
cluttered            O4.1                 1 
desk--and            Z99                  1 
nob                  S2.2                 1 
resistence           Z99                  1 
bling                Z99                  1 
excellent_speakers   Q3                   1 
overcharged          I1.3                 1 
give_back            A9-                  1 
credit_card          O2                   1 
a/x                  Z5                   1 
lv                   N1                   1 
yup-yuppahz          Z99                  1 
a*x                  Z99                  1 
''THE                Z99                  1 
world-standard       Z99                  1 
guys                 Z1                   1 
''                   Z99                  1 
AX_AX                Z1                   1 
YOUU_Armani          Z1                   1 
Danille              Z99                  1 
CRM                  Z99                  1 
techniques           X4.2                 1 
uneducated           P1-                  1 
body_language        Q1.1                 1 
facial_expressions   B1                   1 
all_over_the_place   M6                   1 
look_in              X3.4                 1 
27th                 N4                   1 
meadows              W3                   1 
adhered              A1.7+                1 
sending              M2                   1 
NY                   Z2                   1 
take_over            S7.1+                1 
